,author_id,created_at,edit_history_tweet_ids,id_x,lang,public_metrics,text,username,imp_count,like_count,retweet_count
17,335455570,2023-07-27 14:40:39+00:00,[1684574525835587585],1684574525835587585,en,"{'retweet_count': 11, 'reply_count': 2, 'like_count': 9, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6026}",Niger's army command declares support for military coup https://t.co/ATLWhCY49v https://t.co/Iav9NFarEJ,ReutersWorld,6026,9,11
18,335455570,2023-07-27 14:31:43+00:00,[1684572278955331584],1684572278955331584,en,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4907}",Western car makers look to slash EV costs to fight Chinese 'invasion' https://t.co/ihByCGr9Eb https://t.co/0jNQ87orpr,ReutersWorld,4907,2,3
19,335455570,2023-07-27 13:40:30+00:00,[1684559387925291008],1684559387925291008,en,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 11, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6526}",North Korea's Kim shows off banned missiles to Russian minister https://t.co/sjgDpCNauQ https://t.co/l4DtW0Y24I,ReutersWorld,6526,11,3
20,335455570,2023-07-27 13:30:32+00:00,[1684556880322998274],1684556880322998274,en,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 9, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5359}","Insight: Obscure traders ship half Russia's oil exports to India, China after sanctions https://t.co/Ud0LNOixw6 https://t.co/zBt91mp9mF",ReutersWorld,5359,9,3
21,335455570,2023-07-27 12:40:34+00:00,[1684544306000850944],1684544306000850944,en,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 9, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5163}",Sinead O'Connor was found unresponsive at London address - UK police https://t.co/T8H1rSlTg2 https://t.co/nQvE06MmSD,ReutersWorld,5163,9,2
22,335455570,2023-07-27 12:31:09+00:00,[1684541937741701120],1684541937741701120,en,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4393}",Insight: Wegovy weight-loss injection factory plagued by sterile-safety failures https://t.co/EVMywxRQMw https://t.co/oYPnWiqEoh,ReutersWorld,4393,3,1
23,335455570,2023-07-27 11:40:20+00:00,[1684529149119963137],1684529149119963137,en,"{'retweet_count': 13, 'reply_count': 3, 'like_count': 55, 'quote_count': 2, 'bookmark_count': 1, 'impression_count': 8730}",Iranian chess player who removed hijab gets Spanish citizenship https://t.co/hXvGVSPZ0l https://t.co/vIquRlllh5,ReutersWorld,8730,55,13
24,335455570,2023-07-27 11:30:32+00:00,[1684526683343159296],1684526683343159296,en,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4633}","China braces for Typhoon Doksuri's landfall, shutting schools and businesses https://t.co/3bBS813zY6 https://t.co/XTL3lULvM8",ReutersWorld,4633,5,5
25,335455570,2023-07-27 10:40:25+00:00,[1684514071163305986],1684514071163305986,en,"{'retweet_count': 3, 'reply_count': 2, 'like_count': 7, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5115}",UK university marking strike leaves thousands of students stuck in limbo https://t.co/MjKIzzYHli https://t.co/szEyBM37cv,ReutersWorld,5115,7,3
26,335455570,2023-07-27 10:30:43+00:00,[1684511628933439489],1684511628933439489,en,"{'retweet_count': 7, 'reply_count': 2, 'like_count': 9, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5034}",Niger president makes defiant vow to save democracy after coup https://t.co/XJpzqPB1vh https://t.co/tmHCOZBYPA,ReutersWorld,5034,9,7
