,Date,banks_positive,banks_neutral,banks_negative,fin_positive,fin_neutral,fin_negative,count_banks,count_fin,dollar,sp500,dollar_diff,sp500_diff
2,2022-01-03,,,,0.4938735347241163,0.421230367384851,0.0848961269948631,0,4,115.4102,4796.56,,
3,2022-01-04,,,,0.1964527368545532,0.7400971055030823,0.0634501259773969,0,2,115.3238,4793.54,-0.08639999999999759,-3.0200000000004366
4,2022-01-05,,,,0.07515677437186234,0.6151468902826309,0.3096963446587324,0,2,115.1558,4700.58,-0.16800000000000637,-92.96000000000004
5,2022-01-06,,,,0.28802635023991263,0.18077556788921353,0.5311980868379275,0,3,115.4221,4696.05,0.2663000000000011,-4.529999999999745
6,2022-01-07,,,,0.5672108978033066,0.3178776502609253,0.11491147428750986,0,2,115.0641,4677.03,-0.3580000000000041,-19.020000000000437
9,2022-01-10,,,,0.33829827746376395,0.34355966001749033,0.3181420271284878,0,4,115.2341,4670.29,0.1700000000000017,-6.739999999999782
10,2022-01-11,,,,,,,0,0,114.852,4713.07,-0.3820999999999941,42.779999999999745
11,2022-01-12,,,,0.48827384114265443,0.45949183106422425,0.05223433058708902,0,5,114.3798,4726.35,-0.47220000000000084,13.280000000000655
12,2022-01-13,,,,0.10485616450508434,0.8679909110069275,0.027152908965945202,0,3,114.2084,4659.03,-0.17140000000000555,-67.32000000000062
13,2022-01-14,,,,0.3292840719223022,0.6054978867371877,0.06521805313726263,0,3,114.4045,4662.85,0.19610000000000127,3.8200000000006185
17,2022-01-18,,,,0.34942880521217984,0.4311542361974716,0.21941693872213364,0,3,114.7533,4577.11,0.3487999999999971,-85.74000000000069
18,2022-01-19,,,,,,,0,0,114.6272,4532.76,-0.12609999999999388,-44.349999999999454
19,2022-01-20,,,,0.27286018431186676,0.6993688642978668,0.02777099143713705,0,2,114.4819,4482.73,-0.14530000000000598,-50.030000000000655
20,2022-01-21,,,,0.3478841781616211,0.5644417405128479,0.087674081325531,0,1,114.6262,4397.94,0.1443000000000012,-84.78999999999996
23,2022-01-24,,,,0.20362678021192546,0.37200894132256507,0.42436428405344484,0,5,115.2085,4410.13,0.5823000000000036,12.19000000000051
24,2022-01-25,,,,0.2793199345469474,0.4783156414826711,0.24236441838244593,0,3,115.1693,4356.45,-0.039199999999993906,-53.68000000000029
25,2022-01-26,0.1471405923366546,0.8259934782981873,0.0268660094588994,0.399804338812828,0.5265869870781898,0.07360868528485295,1,2,115.1017,4349.93,-0.06760000000001298,-6.519999999999527
