,Date,dollar,sp500,dollar_diff,sp500_diff,bank_positive,bank_neutral,bank_negative,count_bank,fin_positive,fin_neutral,fin_negative,count_fin,bank_positive_var,bank_neutral_var,bank_negative_var,fin_positive_var,fin_neutral_var,fin_negative_var,bank_pos_dummy2,bank_neg_dummy2,fin_pos_dummy2,fin_neg_dummy2,bank_pos_dummy,bank_neu_dummy,bank_neg_dummy,fin_pos_dummy,fin_neu_dummy,fin_neg_dummy
30,2022-08-15,121.3583,4297.14,0.4084000000000003,16.99000000000069,,,,0,0.02689465321600437,0.4897831380367279,0.48332223296165466,1,,,,,,,0,0,0,1,0,0,0,0,1,0
31,2022-08-16,121.6112,4305.2,0.2528999999999968,8.05999999999949,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
32,2022-08-17,121.991,4274.04,0.379800000000003,-31.159999999999854,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
33,2022-08-18,122.2758,4283.74,0.28480000000000416,9.699999999999818,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
34,2022-08-19,122.9575,4228.48,0.6816999999999922,-55.26000000000022,,,,0,0.4642113745212555,0.4463975429534912,0.08939099311828613,1,,,,,,,0,0,1,0,0,0,0,1,0,0
35,2022-08-22,123.5096,4137.99,0.55210000000001,-90.48999999999978,,,,0,0.5050214529037476,0.32103270292282104,0.1739458292722702,1,,,,,,,0,0,1,0,0,0,0,1,0,0
36,2022-08-23,122.9691,4128.73,-0.5405000000000086,-9.260000000000218,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
37,2022-08-24,123.0226,4140.77,0.05349999999999966,12.040000000000873,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
38,2022-08-25,122.9714,4199.12,-0.05119999999999436,58.349999999999454,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
39,2022-08-26,122.9847,4057.66,0.013300000000000978,-141.46000000000004,,,,0,0.09724238514900208,0.7471774816513062,0.15558019280433655,1,,,,,,,0,0,0,0,0,0,0,0,1,0
40,2022-08-29,123.3931,4030.61,0.4084000000000003,-27.049999999999727,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
41,2022-08-30,123.607,3986.16,0.21389999999999532,-44.45000000000027,,,,0,0.07231102883815765,0.8125472068786621,0.11514170467853546,1,,,,,,,0,0,0,0,0,0,0,0,1,0
42,2022-08-31,123.4535,3955.0,-0.15349999999999397,-31.159999999999854,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
43,2022-09-01,124.3064,3966.85,0.8528999999999911,11.849999999999909,,,,0,0.3135252296924591,0.49230873584747314,0.19416597485542297,1,,,,,,,0,0,1,0,0,0,0,0,1,0
44,2022-09-02,123.6919,3924.26,-0.6144999999999925,-42.58999999999969,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
