"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","MEX","Mexico","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,19.54255,,
"CCUS","Currency exchange rates, monthly average","NZL","New Zealand","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.688474,,
"CCUS","Currency exchange rates, monthly average","NZL","New Zealand","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.756963,,
"CCUS","Currency exchange rates, monthly average","NZL","New Zealand","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1.647868,,
"CCUS","Currency exchange rates, monthly average","NZL","New Zealand","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,1.574961,,
"CCUS","Currency exchange rates, monthly average","NOR","Norway","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,10.27347,,
"CCUS","Currency exchange rates, monthly average","NOR","Norway","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,10.5775,,
"CCUS","Currency exchange rates, monthly average","NOR","Norway","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,10.13552,,
"CCUS","Currency exchange rates, monthly average","NOR","Norway","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,9.86565,,
"CCUS","Currency exchange rates, monthly average","POL","Poland","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,4.788236,,
"CCUS","Currency exchange rates, monthly average","POL","Poland","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,4.889443,,
"CCUS","Currency exchange rates, monthly average","POL","Poland","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,4.61485,,
"CCUS","Currency exchange rates, monthly average","POL","Poland","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,4.422373,,
"CCUS","Currency exchange rates, monthly average","SWE","Sweden","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,10.88084,,
"CCUS","Currency exchange rates, monthly average","SWE","Sweden","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,11.12899,,
"CCUS","Currency exchange rates, monthly average","SWE","Sweden","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,10.67112,,
"CCUS","Currency exchange rates, monthly average","SWE","Sweden","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,10.38042,,
"CCUS","Currency exchange rates, monthly average","CHE","Switzerland","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,0.9729409,,
"CCUS","Currency exchange rates, monthly average","CHE","Switzerland","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,0.9956667,,
"CCUS","Currency exchange rates, monthly average","CHE","Switzerland","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,0.9659091,,
"CCUS","Currency exchange rates, monthly average","CHE","Switzerland","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,0.9320545,,
"CCUS","Currency exchange rates, monthly average","TUR","Türkiye","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,18.31378,,
"CCUS","Currency exchange rates, monthly average","TUR","Türkiye","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,18.58481,,
