DATE,DTWEXBGS
2023-05-29,.
2023-05-30,120.8136
2023-05-31,121.2284
2023-06-01,120.3486
2023-06-02,120.2952
2023-06-05,120.3057
2023-06-06,120.2859
2023-06-07,120.1906
2023-06-08,119.9089
2023-06-09,119.7892
2023-06-12,120.0069
2023-06-13,119.5948
2023-06-14,119.1992
2023-06-15,118.981
2023-06-16,118.8586
2023-06-19,.
2023-06-20,119.3937
2023-06-21,119.1943
2023-06-22,119.2259
2023-06-23,119.6068
2023-06-26,119.5728
2023-06-27,119.3992
2023-06-28,119.8396
2023-06-29,120.0324
2023-06-30,119.8885
